customer_id,age,employment_type,monthly_income,city,city_tier,bureau_score,has_pl,pl_ticket_size,pl_tenure_months,pl_vintage_months,repayment_score,dpd_last_12m,foir_percent,digital_engagement_score,app_logins_90d,hl_calculator_used,hl_propensity_score,took_hl,hl_ticket_size,hl_tenure_months,hl_vintage_months,segment,model_propensity_score,propensity_decile
CUST000188,41,Salaried,94508,Bangalore,Tier 1,719,True,130649,18,28,57,3,7.68,71,14,False,78.64,False,0,0,0,Ready for Home,40.086807,9
CUST000189,38,Salaried,71530,Lucknow,Tier 2,727,True,221318,12,23,59,1,25.78,96,13,False,69.38,False,0,0,0,High Potential,42.80258,9
CUST000190,47,Salaried,79890,Chennai,Tier 1,842,True,220611,36,36,100,0,7.67,86,10,True,98.32,True,1439008,120,22,Ready for Home,71.497574,10
CUST000191,30,Self-Employed,83333,Chandigarh,Tier 3,650,True,397315,24,40,22,0,19.87,97,15,False,86.28,False,0,0,0,Ready for Home,7.2001534,1
CUST000192,45,Salaried,104921,Mumbai,Tier 1,729,True,139817,18,18,42,0,7.4,77,19,True,100.0,False,0,0,0,Ready for Home,18.681974,5
CUST000193,41,Self-Employed,127972,Chennai,Tier 1,742,True,356804,24,35,58,0,11.62,64,6,False,73.9,False,0,0,0,Ready for Home,32.105743,8
CUST000194,32,Salaried,58309,Nagpur,Tier 2,698,True,276674,36,13,42,0,13.18,79,18,False,82.57,True,2531190,120,8,Ready for Home,30.48093,8
CUST000198,25,Salaried,43964,Nagpur,Tier 2,729,True,197941,18,29,62,0,25.01,95,13,False,43.72,False,0,0,0,Medium Potential,15.546791,4
CUST000201,35,Salaried,56865,Mumbai,Tier 1,704,True,112392,18,10,45,0,10.98,100,11,False,74.34,False,0,0,0,Ready for Home,11.377363,2
CUST000202,38,Salaried,67942,Lucknow,Tier 2,726,True,160612,18,6,61,1,13.13,70,6,False,92.34,True,1862622,120,15,Ready for Home,26.392225,7
CUST000205,32,Salaried,71360,Mumbai,Tier 1,772,True,242865,36,9,69,1,9.45,63,4,False,84.5,False,0,0,0,Ready for Home,28.042368,7
CUST000206,29,Salaried,40470,Kochi,Tier 2,701,True,140758,18,34,37,3,19.32,95,15,False,57.32,False,0,0,0,High Potential,22.294199,6
CUST000207,33,Self-Employed,128755,Hyderabad,Tier 1,600,True,550511,24,8,15,0,17.82,74,17,False,98.47,True,4956495,240,9,Ready for Home,66.55211,10
CUST000209,32,Salaried,48922,Chandigarh,Tier 3,687,True,123083,18,19,32,0,13.98,96,23,False,44.89,False,0,0,0,Medium Potential,9.257853,2
CUST000210,33,Self-Employed,69354,Lucknow,Tier 2,660,True,239724,60,18,15,1,5.76,99,13,True,84.79,False,0,0,0,Ready for Home,10.998012,2
CUST000211,38,Salaried,73050,Delhi,Tier 1,734,True,176213,60,17,44,2,4.02,77,14,False,68.43,False,0,0,0,High Potential,28.600952,7
CUST000212,37,Self-Employed,50348,Kochi,Tier 2,709,True,161866,18,41,41,0,17.86,77,17,False,65.84,True,2733716,300,15,High Potential,44.144814,9
CUST000213,26,Salaried,30713,Indore,Tier 2,742,True,105656,48,9,61,0,7.17,83,17,False,63.31,False,0,0,0,High Potential,32.014248,8
CUST000214,42,Self-Employed,138240,Chennai,Tier 1,822,True,465818,12,7,82,0,28.08,69,3,False,100.0,False,0,0,0,Ready for Home,31.069237,8
CUST000216,32,Salaried,38905,Bangalore,Tier 1,707,True,122055,48,47,55,0,6.54,100,17,True,83.43,False,0,0,0,Ready for Home,39.98146,9
CUST000217,37,Salaried,40085,Chennai,Tier 1,803,True,108194,18,15,80,1,15.0,97,17,False,86.67,False,0,0,0,Ready for Home,22.051493,6
CUST000218,39,Self-Employed,55812,Chennai,Tier 1,734,True,250378,60,19,57,0,7.48,80,13,False,59.61,False,0,0,0,High Potential,25.304163,7
CUST000219,39,Salaried,64652,Hyderabad,Tier 1,763,True,262706,12,19,71,0,33.86,100,10,False,77.31,True,1858498,300,14,Ready for Home,30.6559,8
CUST000220,40,Salaried,50537,Delhi,Tier 1,714,True,236562,36,45,51,0,13.0,100,15,False,61.11,True,1297442,240,11,High Potential,56.714405,10
CUST000221,30,Self-Employed,60862,Chennai,Tier 1,708,True,219054,12,25,40,0,29.99,59,8,False,61.76,False,0,0,0,High Potential,16.907715,4
CUST000222,45,Salaried,90192,Kochi,Tier 2,803,True,181612,36,27,93,0,5.59,100,12,False,100.0,False,0,0,0,Ready for Home,11.856557,3
CUST000223,38,Salaried,71702,Kochi,Tier 2,731,True,165225,60,11,42,5,3.84,83,15,False,63.01,False,0,0,0,High Potential,22.751255,6
CUST000225,29,Salaried,63635,Pune,Tier 1,706,True,135327,60,19,55,1,3.54,95,16,False,64.7,False,0,0,0,High Potential,14.492731,3
CUST000226,47,Salaried,75246,Bangalore,Tier 1,743,True,339814,12,43,49,0,37.63,47,6,False,41.41,False,0,0,0,Medium Potential,9.8636465,2
CUST000227,28,Salaried,47172,Guwahati,Tier 3,645,True,180929,12,36,9,1,31.96,87,15,False,10.24,False,0,0,0,Low Intent,4.259774,1
CUST000229,46,Self-Employed,112467,Kochi,Tier 2,723,True,105967,48,26,42,1,1.96,59,6,False,53.26,False,0,0,0,High Potential,13.429091,3
CUST000231,23,Salaried,37984,Hyderabad,Tier 1,645,True,121955,24,33,15,0,13.38,100,15,False,20.02,False,0,0,0,Low Intent,8.712996,2
CUST000232,29,Salaried,48141,Coimbatore,Tier 2,752,True,115975,60,18,62,1,4.02,91,14,False,69.24,False,0,0,0,High Potential,29.838518,8
CUST000233,40,Self-Employed,85523,Indore,Tier 2,756,True,424176,48,28,73,2,10.33,69,2,False,79.88,False,0,0,0,Ready for Home,21.789217,6
CUST000234,32,Salaried,25000,Mumbai,Tier 1,680,True,124195,60,8,26,2,8.28,72,12,False,49.02,False,0,0,0,Medium Potential,9.413638,2
CUST000235,39,Salaried,97027,Rajkot,Tier 3,734,True,424959,48,16,50,2,9.12,100,18,True,93.21,True,4147106,300,1,Ready for Home,73.33333,10
CUST000236,38,Self-Employed,94385,Delhi,Tier 1,687,True,351332,60,21,39,1,6.2,63,7,False,100.0,False,0,0,0,Ready for Home,31.419512,8
CUST000237,23,Salaried,25000,Jaipur,Tier 2,689,True,101728,24,23,23,0,16.95,100,12,False,54.51,False,0,0,0,High Potential,9.154633,2
CUST000238,40,Salaried,91998,Bangalore,Tier 1,723,True,165788,18,46,33,0,10.01,46,4,False,74.68,True,3315568,120,20,Ready for Home,49.425335,9
